Tag,Question,Answer,Updated date,Answer provided by,Expiration Date
"Control Center, portal, reporting, reports","Is there a Portal to provide service level information, data availability/readiness (should link to 5.02) and other functionality (please describe)","Control Center Web Portal to control Benchmark, OnDemand, Exchange Streaming, Content Datafeeds – as well as Portfolio Integration, Analytics, Reporting and Delivery data timeliness/accuracy and workflow integrity.  This portal is also used to define Security Administration and interact directly with subject matter experts in FactSet via Issue Tracker web tickets.",,,
"Control Center, portal, reporting, reports",Standard monthly and quarterly reporting?,Live reporting via Control Center web portal,,,
"Cornerstone, batch, batching, scheduler, scheduling package, external scheduler, data integration","Can we use an industry-standard scheduling package (such as Autosys) to schedule downloads of data, or do we need to use a proprietary scheduler?

Is it possible to use an external scheduler to execute system functions?","FactSet offers a orchestration and batching interface called Cornerstone that allows automation and scheduling of recurring tasks within FactSet’s datacenters.  FactSet is able to extract and upload holdings and transactions data to and from data warehousing and other third party systems.  While the primary orchestration of FactSet production processes is internal to FactSet and monitored by our Portfolio Services Workflow Coordinator teams, our clients have the ability to use various forms of APIs to initiate processes and extract data from our system.",,,
"Cornerstone, PA, monitoring","If applicable, what is the process for modifying the production job schedule?","Clients work with their Account Team and Workflow Coordinators to adjust process times, steps, inputs and outputs.",,,
"Cornerstone, PA, monitoring",What is the process for monitoring the daily production job schedule?,"FactSet monitors and logs production jobs.  If an issue is detected, the appropriate teams are paged, a ticket is created, and the issue is followed up on through resolution.  ",,,
corporate culture,Describe your corporate culture,Please visit http://www.factset.com/careers/about/our_culture for information on FactSet's Culture.,,,
crisis management,What is the structure of your crisis management team?,"The Crisis Management team consists of a cross functional team including Engineering, Quality Assurance, and Consulting teams.",9/1/2017,LCW,
crisis management,"Have you tested this crisis management process and if so, how and when was this last performed?","Crisis management is handled as part of FactSet Incident Response procedures.  FactSet Notify, FactSet's external communication platform, is exercised regularly through regular communication to clients of changes being made to FactSet's services.  FactSet's internal communication tools are also regularly exercised through the dissemination of corporate-wide communications.",8/9/2017,LCW,
customer tracking,"Describe the type of application ( i.e., software program) used for maintaining client profiles, e.g., tracking client issues, calls, inquiries across the firm and what departments have access to these profiles.  ","FactSet has an internal CRM (customer relationship management) system that tracks and manages client issues.  FactSet’s consulting, sales, and engineering departments have access to this data.",,,
"customize, custom","Support latest development platforms, Application Development Tools","FactSet can be accessed from any language via the use of FactSet Web APIs.  Specific SDKs / APIs are available for C#, C++, Java, R, Matlab, etc.",2/26/2018,JMD,
"customize, custom",Is there any option for customization or branding?  Can your system leverage an existing style?,FactSet has several application that can support custom styles and company colors. This includes fully customizable presentation ready documents for reporting purposes.,2/26/2018,JMD,
"customize, custom",custom software development,"FactSet’s front-end code is not customizable from a code perspective, but is a framework that is highly configurable to workflows.",,,
"customize, custom",Customize presentation level to meet <client> look and feel,Users may customize the views and components within the FactSet application to meet their specific functionality workflow needs.,,,
"customize, custom",Does the solution provide an SDK that can be used for integration? If so describe it,"The FactSet application does not require custom software development.  Users may leverage highly-configurable workspaces, and the entire suite of Analytic applications is extremely configurable to accommodate almost common workflows.  FactSet is available to assist with creating and guiding on appropriate workspaces and workflows for given user classes.  FactSet also maintains multiple SDKs/APIs – including a VB interface in MS Office, a windows based API (C#, C++, Java, Python, etc.) for access to Screening/FQL functions.",,,
"customize, custom",Does the solution support customization to integrate systems not supported natively?,"Yes, through the use of API’s and data transfer, applications that aren’t natively supported can participate in a data workflow, for example, OMS systems.",,,
"customize, custom","How do you manage customizations from multiple clients? 
Are exclusivity periods supported?","FactSet does not offer client specific customizations, and thus there are no periods of exclusivity. ",,,
CVE,"Generic CVE Statement
ONLY For when specific verbiage is not available.  Check with Lyn, SIG, Jason, etc.","FactSet has a comprehensive security program in place to secure FactSet systems and client data, which includes multiple layers of protection since no single control will completely insulate FactSet or anyone else from attack.  An aggressive patching policy is part of that program.  We share with clients information about that overall program, including general patching policy - however, FactSet does not specifically respond to each of the announced vulnerabilities from vendors unless there we declare an Incident Response Plan activation. We are aware of all announced vulnerabilities and exploits and take appropriate action as required on patching and perimeter protections.  FactSet also receives threat indicator information from automated sources, from our SIEM/SOC as well as from FS-ISAC and takes appropriate remediation actions.  FactSet activates an IRP when there is a security, exploit, physical or other event that requires critical action.",1/3/2018,MCW,
cybersecurity,"Please indicate the extent to which you would be able to provide a response to the questions posed in the SEC’s Cybersecurity Alert that was issues on April 15, 2014. ",This is not applicable.  FactSet provides tools to permit financial professionals to analyze financial information.  FactSet is not a broker/dealer nor does it provide investment advice.,,,
"cybersecurity , ISO , NIST , COBIT , ISA",What cybersecurity standards do you follow? ,"FactSet has developed proprietary in-house procedures, many of which mirror industry standards of best practices.  FactSet's internal testing adheres to the NIST 800-115 Information Security Testing and Assessment recommendations.  ",,,
"cybersecurity , ISO , NIST , COBIT , ISA","Enforce the minimum CIS benchmarks?
","FactSet offers CIS compliance for single-tenancy applications.  Multi-tenancy apps such as our core Analytics offerings are multi-tenant SaaS, and we do not perform CIS benchmark analysis on those systems.  Our Security & Governance policy is available upon request. ",2/26/2018,JMD,
"cybersecurity, acquisition, acquire",How does your company currently address cybersecurity risk in M&A transactions?,FactSet conducts a series of security assessments and inputs all identified issues into its risk management program.  Identified risks are communicated to business units and risk owners and remediation efforts are prioritized where appropriate so that no material risks are introduced into FactSet's computing environments as a result of the M&A transaction.,,,
data at rest,Is data encrypted at rest?  ,"FactSet leverages various file-based, object and database classes of secure client datastores – some of which are encrypted at rest, while some are not – however all participate in total logical isolation of content with appropriate controls. FactSet's overall strong security posture and policy includes encryption-at-rest for certain key sensitive proprietary datasets.  For more information on the controls protecting client data, please refer to the “Data Security” section of the FactSet Technology Overview Guide at http://www.factset.com/files/download/files/pdf/FactSet_Technology_Overview.pdf.

-------
**Follow-up answer**
For our multi-tenant core FactSet offering, we obfuscate (data stores are proprietary) but do not encrypt the data.  Data is only useable to the application layers, raw data on disk is in a proprietary, binary form and is not discernable to any party except the application layer itself which uses an abstraction to get access to client content after authentication and authorization.
 
FactSet offers ARE (at-rest encryption) for single-tenancy services such as Vermilion, BISAM B-One, Cymba OMS, Code:Red RMS and Partners RMS - but not for our core FactSet research, portfolio management and analytics platform.
---------
**Follow-up answer**
Data are stored in secure locations within FactSet's datacenters and are therefore not encrypted at rest.  Data are stored on isolated client directories in the storage subsystem.  All storage is localized to secure locations within FactSet’s datacenters, in a proprietary database format.  The use of process and account-level security on our operating systems prevents anyone but authorized users from having Operating System enforced access to the files themselves.  Internal FactSet employee access requires authorization and leaves audit logs.",8/9/2017,LCW,
data at rest,How do you ensure the security of “data at rest”?,"This is best described in the “Data Security” section of the FactSet Technology Overview Guide at 
http://www.factset.com/files/download/files/pdf/FactSet_Technology_Overview.pdf and the attached Security and Governance whitepaper.
",8/9/2017,LCW,
data at rest,"What is the general nature of the data stored on the proposed system? 

Use this sparingly.  This is referring to data the client has saved on their machine, or that our app uses.  Typically it isn't required to answer this.",Any data stored locally by the FactSet client software would be for caching purposes only.  Any proprietary data that would be locally stored would have been explicitly saved by the user.,8/9/2017,LCW,
"data at rest, segregation, separation, separated",How is data segmented from other companies?,"FactSet is a multi-tenant solution, and utilizes layered security controls to enforce proper separation and access authorization of client data.  Client workspaces, access entitlements, and storage are logically separated via operating system and application layer security models.  Client data are stored in separate databases unique to that client.",6/23/2017,JMD,
"data breach, insurance",Does your insurance cover data breach risk? ,"No, FactSet carries Property, Casualty, and General Liability insurance, and effectively self-insures against errors and omissions.",,,
data classification,"How is your data classification framework reviewed and evaluated for its effectiveness, relevance and currency and how often does this occur?",Processes are regularly reviewed and tested through FactSet's QA process.,,,
data classification,Please describe your data classification framework?,All client data is treated as highly confidential.  Policies surrounding the handling of that data are enforced in the systems interacting with and processing that data.,,,
Data collection,"What data do we collect from clients - traffic, logs, IP, etc.?",FactSet generates telemetry on product processes to be used for troubleshooting the application performance and stability.  Data collected by FactSet is protected by our client’s NDA/MCLA.,12/1/2017,JMD,
data destruction,Are paper records kept in locked containers?,FactSet minimizes the use of paper records by relying on electronic systems.  Policy instructs employees to handle paper records properly and destroy paper records after there is no longer a business requirement.,,,
data destruction,Are procedures in place to fully destroy data contained on back-up media before they are reused? ,Tapes are completely re-written,,,
data destruction,Do you have a company wide shredding program in place?,Yes.  FactSet has policies in place that specify shredding requirements.  FactSet offices have easily accessible shredding facilities.,,,
data destruction,"Do you have a confidential waste contract with a third party provider?  If yes, please specify the service provider",FactSet leverages multiple vendors who come onsite to shred confidential waste under FactSet supervision.,,,
data destruction process ,Does your organization have a data destruction process (both digital and hard copy)? Please describe the process and the controls you have in place for data destruction.,FactSet has adopted multiple record destruction mechanisms depending on media type.  FactSet's Hard disk Disposal policy requires the use of tools like DBAN to securely wipe media for reuse or prior to shipping.  Non-functioning media are physically destroyed onsite.  FactSet minimizes the use of paper records by relying on electronic systems.  Policy instructs employees to handle paper records properly and destroy paper records after there is no longer a business requirement.,,,
"data destruction, hardware disposal","Describe processes for disposal and reuse of equipment and software, including the removal of customer information?",FactSet's Hard Drive Disposal policy dictates procedures for the secure reuse and destruction of media.,,,
"data destruction, hardware disposal",Do you automatically delete/destroy paper and electronic records or do you use a manual process? Please explain.,FactSet has adopted multiple record destruction mechanisms depending on media type.,,,
"data destruction, hardware disposal","How do you prevent data from going offsite? For example, in a HDD failure scenario.",FactSet's Hard disk Disposal policy requires the use of tools like DBAN to securely wipe media for reuse or prior to shipping.  Non-functioning media are physically destroyed onsite.,12/7/2017,LCW,
"data destruction, hardware disposal",Are the backup media degaussed prior to physical destruction? ,Backup media are proper disposed according to best-practices for each media type.,12/7/2017,JMD,
"data destruction, hardware disposal",,Possible ways we decom / destroy hardware include physical destruction and Software Wipe (using DoD 5220 Standards).,,,
"data in transit, encryption","How does your company ensure the security of “data in flight”?
Is the password transport encrypted? What algorithm do you use?","FactSet leverages HTTPS (TLS1.2) and OpenSSL encryption to protect proprietary data in transit.  For file transfers, FactSet encourages clients to use SFTP.  For more information, please refer to the “Data Security” section of the Technology Overview Guide at http://www.factset.com/files/download/files/pdf/FactSet_Technology_Overview.pdf
",8/9/2017,LCW,
"Data Integrity, QA",Data integrity safeguards,"FactSet often captures data integrity issues that source from our 100s of third-party vendors and from the 1000s of custodians and direct client sources that feed out system.  Part of the value proposition of FactSet is our automated QA systems and extensive QA staff which looks to identify and remediate outlier data that sources from outside FactSet.  FactSet also runs through thousands of unit and regression tests to capture data errors that source in our Content Collection division.  With over 4,000 employees involved in the collection of content which drive FactSet’s many content sets (http://www.factset.com/data/company_data and http://www.factset.com/data/market_data) – FactSet is constantly iterating on automated and human solutions to provide best-in-class data. ",,,
"Data Leakage, DLP","Who has access to data, General DLP answer","Appropriate FactSet staff, which can include sales and support staff, developers and systems engineers, have non-admin access to our systems and client information.  Access to production systems as well as client data is monitored and logged.  FactSet employees specify a business case for each request to access client data.  Clients may subscribe to Access Audit to receive timely copies of logs containing the stated business cases.  Actions being performed on tagged client data that violate FactSet's security policy, alert the FactSet Security Team who immediately investigates the incident.  Third parties do not have access to client data.",8/26/2017,LCW,
"Data Leakage, DLP, Removable Media","Use when asked about removable media specifically.  Example, USB, memory stick, key fob, CD, DVD storage","The use of removable media is not considered acceptable use.  FactSet has policies in place that govern acceptable use for accessing and copying data for the purpose of support.  Access to production systems as well as client data is monitored, logged, and limited to individuals in support and client facing roles.  FactSet employees specify a business case for each request to access client data.  Clients may subscribe to Access Audit to receive timely copies of logs containing the stated business cases.  Actions being performed on tagged client data that violate FactSet's security policy, alert the FactSet Security Team who immediately investigates the incident.  FactSet is actively investigating improvements to its Data Leakage Prevention program to cover removable media.

---
If follow-up questions:

FactSet has a plan to implement controls to effectively disable the use of removable media.  A rollout is expected to take place during the first half of 2018.
------
If further follow-up:

FactSet plans to implement controls to effectively disable the use of removable media.  This will be done through Group Policy, and is being rolled out using a phased approach.  A test is in progress for select workstations.  Following a successful test, this will be deployed to a pilot group, then a wider audience, and finally to all workstations.  The rollout is expected to be completed during the first half of 2018.  It is recommended that you checking back for a status at the end of March.",1/25/2018,JMD,
data model,Is all or part of the data model on which your solution is based public?,"FactSet publishes out our full data model of collected content across our dozens of content sets (Fundamentals, Estimates, Ownership, Entity Data Hub, etc.)  The data model of loaded portfolios is also transparent to our clients.",,,
"data protection standards,  IT security standards",Which IT-security and data protection standards are met by the solution?,"FactSet has developed proprietary in-house procedures, many of which mirror industry standards of best practices.  FactSet's internal testing adheres to the NIST 800-115 Information Security Testing and Assessment recommendations. 
In general, FactSet meets or exceeds industry best-practices for security, operational integrity, infrastructure redundancy, business continuity, risk management, process controls, and employee policies.  For more details on FactSet’s security and technical controls, please see the FactSet Technology Overview Guide at http://www.factset.com/files/download/files/pdf/FactSet_Technology_Overview.pdf and the attached Security & Governance document. ",,,
"Data Protection, data classification, segregation of client data",Statement on how we protect client data.  How do we protect client data?  How do you protect our data?  Security features.,"FactSet utilizes layered security controls to enforce proper separation and access authorization of client data.  Client workspaces, access entitlements, and storage are logically separated via operating system and application layer security models.  Client data are stored in separate databases unique to that client.

FactSet support staff can access client data for the purposes of providing support.  Third parties do not have access to FactSet client data.  FactSet employees are required to specify a business case for each data request.  Clients may also subscribe to Access Audit to receive timely copies of logs containing the stated business cases.  Actions being performed on tagged client data that violate FactSet's security policy, alert the FactSet Security Team who immediately investigates the incident.   

FactSet treats client proprietary data as the most sensitive data class on our production systems.  Access is granted based on logged request only and only to specific employees that have workflows that are required to access such data (support personnel, for example).",,,
"Data Protection, Policy, Data Protection officer, responsible for data protection","Data Protection policy that covers rules about the use and disclosure of information
Communicated to all staff?
Data Protection officer ?
Responsibility for Data Protection at a senior mgmt. level?
","This is best described in the “Data Security” section of the FactSet Technology Overview Guide at http://www.factset.com/files/download/files/pdf/FactSet_Technology_Overview.pdf.

The CIO and the Director of Systems Infrastructure are responsible for data protection / information security at FactSet.  FactSet also has a Security Committee that meet on a regular basis.  This group is led by FactSet's CIO and consists of members of FactSet's senior management and Board of Directors. ",,,
"Data Protection, risk assessment, security assessment","Have you worked with other firms on assessments, who and when?","FactSet works with many recognizable names in the Accountancy, Investment Management, and Investment Banking fields.  FactSet takes security very seriously, and addresses any outstanding findings or unmitigated risks that might arise from an investigation.      ",,,
"Data Protection, sensitivity of data",Are your security measures appropriate to the sensitivity of the personal data you keep?,"FactSet treats client proprietary data as the most sensitive data class on our production systems.  Access is granted based on logged request only and only to specific employees that have workflows that are required to access such data (support personnel, for example).",,,
data type,What type of information / data is being sent?,"The type of information being transmitted is company and market fundamental/analytical data as well as real-time news, pricing and quotes market data.",,,
database,"Database openness (create table, update table, create stored procedure).  What database does your ASP run on? (and questions about our ""database"")",Users typically interact with data through the FactSet client software rather than directly with the database.  Jobs to upload data are typically run automatically without user intervention once they are initially set-up.,,,
database,Describe entry validations.,FactSet performs entry validation for all user input.,,,
database,Describe how data is accessed by the application,FactSet stores and accesses data via a proprietary database specifically optimized for FactSet applications.,,,
database,Describe what data locking measures or techniques are used to prevent multiple updates of data from occurring,FactSet maintains mutex mechanisms for write-lock requirements.,,,
database,"Does the solution allow native, direct query access to the database?","Not specifically, however, multiple application components within FactSet offer edit and query abilities directly into OFDB’s.",,,
database,Does the solution provide file based import and export functionality? If so describe it and the types of files supported for both import and export.,"Yes, please see above.   Delimited files are most common format.",,,
database,Does the system come with a data dictionary?,Yes – FactSet’s Online Assistant and other documentation provides deep detail into datasets available for each commercial content set.,,,
database,"Indicate how data is protected from direct update (without going through the solution) using utilities that support ODBC such as Microsoft Access, SQL Anywhere, etc.?",N/A.  No direct access to data is allowed.,,,
database,Is database used?,"FactSet is an ASP, and the database is managed by FactSet within our datacenters. Users typically interact with data through the FactSet client software rather than directly with the database.  Jobs to upload data are typically run automatically without user intervention once they are initially set-up.",,,
database,"Is some form of direct database access provided to facilitate the import and export of data? If so, how does this work in practice?","Typical daily loads of positions, transactions, official returns, security modelling, etc. is achieved through SFTP along with a schedule parser setup by FactSet Client Data Integration Specialists alongside you and your custodian(s).  The appropriate fields and other relevant formatting is well documented.  FactSet also maintains APIs to allow for transfer of OFDB data in real-time, however the primary production methods involve file transfer and include 24/7 monitoring of the workflow timing as well as data reconciliation and outlier analysis.",,,
database,Is the database open e.g. able to make queries etc.,Queries are done through the FactSet client software.,,,
database,"Please describe the software’s ability to enable us to add columns, tables, stored procedures, etc. to the data store. ",FactSet datasets can be integrated into a variety of third-party data manipulation environments in which clients may add changes as desired.,,,
database,,"N/A, FactSet is an ASP.  Data is entered either by the user directly within the FactSet application or through batch file transfer processes.",,,
database,Can the database be encoded in UTF-8?,"Users typically interact with data through the FactSet client software rather than directly with the database.  Jobs to upload data are typically run automatically without user intervention once they are initially set-up.
 
Clients may encode the content inside their own databases with outputted FactSet content in any encoding standard they wish.
",,,
"datacenter cabling, cable",,"Power and telecommunications cables outside of the facility are underground and enter the building to secure Point of Entry rooms (POE) that have restricted access.
Once inside the building cables are routed through conduits when in common space.  Within the secure FactSet space cables are run on an overhead ladder tray.",,,
datacenter location,Where is the primary location backed up?,"New Jersey and Virginia, both active at all times",,,
datacenter location,Where is your primary ASP platform located? ,"New Jersey and Virginia, both active at all times",,,
"datacenter, facilities",Are the HVAC systems in the IT Facility isolated from other parts of the building?,Yes,,,
"datacenter, facilities",Are the HVAC systems on Emergency Backup Power?,Yes,,,
"datacenter, facilities",Are the IT Facilities fed from more than one (1) utility sub-station? ,"NJ – Yes, VA - No",,,
"datacenter, facilities",Are the multiple entry points for each secured from accidental or intentional threats; man-made or natural?,Yes,,,
"datacenter, facilities","Are there multiple entry points for Power, VoIP (Telco) and Water Supply?",Yes,,,
"datacenter, facilities","Do the IT facilities have multiple provisions for Power, VoIP (Telco) and Water Supply?",Yes,,,
"datacenter, facilities",Do you have redundant contracts in place for fuel delivery in the event of an emergency?,Yes,,,
"datacenter, facilities",Do you use a commercial environmental management software application?,Commercial and in-house,,,
"datacenter, facilities","Does the IT Facility have leak detection in place in the floor, ceiling and walls?",Yes,,,
"datacenter, facilities",Have all systems that receive emergency power had the capacity requirements tested in accordance with vendor requirements?,Yes,,,
"datacenter, facilities",Is the IT facility protected from accidental or intentional ramming caused by vehicles from an adjacent road or parking lot?,Yes,,,
"datacenter, facilities",What tier is your datacenter?,We exceed tier 3 status,,,
"datacenter, facilities",,"FactSet leases space in wholesale, purpose built datacenters.  These are FactSet’s primary compute/processing/data storage facilities.  All FactSet equipment is owned and maintained by FactSet staff onsite at each data center 24/7.  Each datacenter is built with redundant and fault tolerant power and cooling systems.  FactSet also uses collocated POPs in various financial centers around the globe for network distribution points, however no client data is stored at that site.",,,
"datacenter, facilities, fire","Are smoke/fire/heat detectors in place beneath raised floors, above drop ceilings and in wiring ducts?","Yes, heat detectors in generator rooms and chiller plant.  All other areas covered by photo type smoke detectors and early warning smoke detection provided by VESDA units in all COLO rooms.",,,
"datacenter, facilities, physical security",Are all entry points either locked continuously or on an access control system when not actively monitored by personnel?,All doors are locked continuously and on an access control system.  Security is monitoring site 24x7x365.,,,
"datacenter, facilities, physical security",Are limits of escorted time?,Third parties must be accompanied by an authorized FactSet employee.,,,
"datacenter, facilities, physical security","Are the doors to the data center kept closed except when something is being moved in or out?  When the doors are open, is someone monitoring what goes in and out?",Yes,,,
"datacenter, facilities, physical security",Are there any other entrances to the hosting facility in addition to the lobby entrance? How are they controlled?,No,,,
"datacenter, facilities, physical security","Are there glass windows in the external walls of the hosting facility?  If so, are they alarmed?",The windows are for appearance and are external to solid concrete walls.,,,
"datacenter, facilities, physical security",Are visitors allowed access to areas where our data is stored?,"Access to FactSet's datacenters is only with prior written permission from the CTO or Director of Operations, and guests must be escorted by an authorized FactSet employee.  A valid government ID is also required.  Access to FactSet offices requires that the visitor sign-in and be escorted at all times by a FactSet employee.",,,
"datacenter, facilities, physical security",Are visitors expected to wear a badge while in the building?,Yes,,,
"datacenter, facilities, physical security","Does the Hosting Provider grant data center access to temps, consultants, contractors, etc.?",Third parties must be escorted by an authorized FactSet employee.  Third parties do not have access to client data.,,,
"datacenter, facilities, physical security",Does the lobby staff keep a record of visitor arrival?,Yes,,,
"datacenter, facilities, physical security",Is the hosting facility clearly marked as a hosting center or data center?,No,,,
"datacenter, facilities, physical security",Is the hosting facility's parking area secure?,The area is monitored by video surveillance cameras.,,,
"datacenter, facilities, physical security",Who maintains the physical hosting facility security?,FactSet maintains the security within its leased pod.  The facility security is maintained by the facility owners.,,,
"datacenter, facilities, physical security",What controls are in place to prevent theft of information such as the removal of storage etc?,"The FactSet facility is in a locked, isolated datacenter space that only allows two-mode (biometric + card) access to FactSet employees.",,,
"datacenter, facilities, physical security",Who owns and operates the datacenter (buildings/operations),"FactSet leases space in wholesale, purpose built datacenters.  FactSet equipment is maintained by FactSet staff onsite at each datacenter 24/7.",,,
"datacenter, failover",Data center description,"FactSet maintains dual active datacenters, each of which can handle 100% of our client load.  FactSet also maintains a global network of POPs.  For more information, please refer to the FactSet Technology Overview Guide at http://www.factset.com/files/download/files/pdf/FactSet_Technology_Overview.pdf.",,,
"datacenter, failover, capacity","What relevant technology and 
systems does your company have in place to 
meet client demand?","FactSet’s mainframe and distributed compute farms are built in each datacenter to run far less than 50% at any point in time in order to have elasticity to accept sustained or instantaneous client demand increases.  FactSet runs highly granular, real-time telemetry on all critical and production systems.",,,
"datacenter, hosting provider",Describe the split of responsibilities between your company and the hosting company to recover your environments. ,"FactSet’s datacenter provider maintains the physical building and provides power and cooling to FactSet’s space.  FactSet has a 24x7 NOC at each datacenter staffed by FactSet employees who maintain our equipment (routers, servers, racks, cabling, etc.) within our space. ",,,
"datacenter, physical security",What types of physical security exist at your company’s data centers?,"FactSet’s datacenters are purpose built and equipped with strong, industry-standard physical security controls which include key card access, security cameras, 24x7 security guards, and biometric controls.  Access to datacenters is only with prior written permission from the CTO or Director of Operations, and guests must be escorted by an authorized FactSet employee.  A valid government ID is also required.  Access to FactSet offices requires that the visitor sign-in and be escorted at all times by a FactSet employee.
",,,
"datacenter, power","Uninterruptible power(-supply) system(UPS) is available? If so, how long hours the power supply will last?",Yes.  15 seconds.,,,
"datacenter, power, DR, BCP, generator","Availability of power supply on emergency, and how many hours can it continue to operate.",FactSet's data centers are supported by generators capable of sustaining more than 48 hours of operation.,,,
datafeed,Does the tool support real-time message based interfacing via MQ Series or similar software?,FactSet provides its own real time exchange API.,,,
datafeed,Extranet for distributors and/or institutional clients ?,"FactSet can make content available in Datafeed form for Data Warehouse storage by client, for downstream presentation to their clients on Client’s own website or portals.  The use of this content must be within the terms and conditions set forth by data redistribution restrictions and appropriate licensing of commercial vendors, and based on appropriate use as defined in the Master Client License Agreement with FactSet.",,,
"datafeed, API, download, webservice",DataDirect / Data Direct,"FactSet DataDirect provides synchronous access to data via the standard HTTPS protocol. Data can be returned in a number of formats, such as XML or CSV file. There are many reports and services available. You can make custom requests by changing the request URL to contain the parameters you need.  For more information, please refer to page 7 of the FactSet Technology Overview Guide at http://www.factset.com/files/download/files/pdf/FactSet_Technology_Overview.pdf",,,
"DDoS, DoS",Describe your DDoS protection program.,"FactSet maintains several Tier 1 internet providers today, each of which would respond to DDoS attacks against their customers.  FactSet maintains on-premises perimeter controls that detect and block Layer 4 flooding attacks, and application-layer DDoS attacks against FactSet’s internet-facing services.",8/28/2017,LCW,
"deployment, implementation, deploy, implement, easy",Are there interfaces/reports that can be implemented without IT involvement?,"Yes – all reports can be implemented without IT involvement since FactSet’s interactive front-end is designed for the business user (Portfolio Manager, Risk Analyst, Research, Portfolio Construction, Trader, Reporting, Performance, etc.)

More sophisticated batch reports are process engineered and optimized as a cooperative effort between FactSet and our clients to ensure efficiency, reliability and methodology correctness.  This is not a requirement – but our experience has shown this to be helpful.
",,,
development,Describe the qualifications of your development team.,FactSet hires employees with appropriate qualifications for their positions.  For developers – that includes Computer Science engineers with specific school or industry experience in technologies used by CodeRed.,,,
development,Do you outsource any part of your development team?,A portion of the CodeRed development team is currently outsourced.,,,
development ,Provide an outline of where your development team(s) are located and which centers manage which parts of the product,"FactSet has developers located in the United States and throughout the globe.  For a list of offices, please refer to www.factset.com/about/locations. ",,,
discipline,disciplinary process,Employees may be subject to disciplinary action up to and including termination.  ,,,
"discipline, breach, HR",Is there a formal disciplinary process for employees who have committed a security breach? Please describe.,"Yes, issues are noted with HR and employees are disciplined as appropriate.",,,
"DMS, contract",DMS / Contract Notification,"FactSet manages its contracts through a document management system.  If there are events in need of notification under the contract, FactSet will notify the Licensee Contact pursuant to the notice requirements within the contract.",,,
Earthquake rating,Earthquake resistance level/number of the building?,FactSet’s New Jersey datacenter is in Seismic Group “IV”.  FactSet’s Virginia datacenter is not rated as it is exempt from seismic analysis by BOCA (building code) 1612.1.,,,
Earthquake rating,Seismic isolation design?,Seismic Design Category: “C” (both datacenters),,,
"ECCN, Export Control Classification Number",Would you happen to know what the ECCN number (Export Control Classification Number) is for FactSet.,5D992,,,
"email, IM, Instant Message",How do you protect the information involved in electronic messaging?,FactSet scans all inbound and outbound email using a combination of software services and appliances.   FactSet employees are allowed to install IM clients which do communicate outside of the FactSet environment.,,,
"email, IM, Instant Message",Do we archive our instant messages?,Yes,12/7/2017,JMD,
"email, encryption, encrypted email, secure email, Forced TLS, StartTLS",StartTLS / Email Encryption,"FactSet's email gateways are configured to leverage StartTLS to SSL encrypt emails sent between FactSet and client email gateways, when similarly configured on client email gateways.

--
FactSet messaging infrastructure attempts to negotiate STARTTLS with domains before sending in the clear.  If you prefer your receiving domains be set to STARTTLS required then please provide a list of domains.

--
FactSet mail servers support STARTTLS encryption for email in transit between email gateways.  This is currently set to be the preferred method of mail transfer for messages sent from FactSet's to your mail gateways.  Please contact your email administrators to determine if messages sent from you to FactSet are set for STARTTLS in this same manner.

--
Internal NOTE: Forced TLS is the same as StartTLS, however, to force this setting would require some configuration changes made by both FactSet and <CLIENT NAME>.  This is handled by Messaging and Collaboration and the account team, not TSE.",,,
employee management,"When an employee terminates employment with your company, how long do they have access to TS&W data or information?",Access is revoked upon termination.,,,
"Employee management, qualifications","Please describe the size, experience and qualifications of your development, implementation and support teams.","FactSet hires employees with appropriate qualifications for their positions.  For developers – that includes Computer Science engineers with specific school or industry experience.  Implementation and support teams includes employees with a finance background.
",,,
employee qualification,Describe the credentials of systems administration staff., FactSet hires employees with appropriate qualifications for their positions.  Please see various Job Descriptions for a sampling of engineering/technical requirements https://factset.tms.hrdepartment.com/cgi-bin/a/searchjobs_quick.cgi ,,,
Encryption,"Are there any encryption laws that apply to the services you provide to us?
(probably best to confirm this w/MCW and Legal)",No,,,
Encryption,"How and where is encryption used within the organization, and what are the goals of using encryption?","FactSet employee assets (laptops) are bitlocker encrypted.  Single-tenant application stack has optional at-rest encryption.  FactSet is looking to enable at-rest encryption on multi-tenant, client-proprietary production holdings and research data in CY2018.",1/30/2018,JMD,
Encryption,"Regulation of Cryptographic Controls.
Please provide your organization's procedural controls designed to comply with relevant laws, regulations and agreements regarding the importation, export or use of cryptographic controls such as encryption algorithms.",FactSet has the applicable export licensing for its software registered with the U.S. Department of Commerce.  FactSet has full control over its code and of which encryption algorithms are used in its code.  Any changes to this are communicated to the Department of Commerce by FactSet's Legal.,,,
"encryption, application",SSL certificate is used to allow customers to verify that they are transacting with the legitimate website.,"FactSet is an installed application.  The FactSet application leverages SSL based encryption, along with the applicable certificates.",,,
