Ques Num,Question/Request,Response,Maturity,Additional Information,AUP Reference,ISO 27002:2013 Relevance,,SIG Tab
F.1.2.22.4,Lost or stolen access card/key reporting required?,Yes,,,,11.1.2.d ,Physical entry controls,Physical and Environment
F.1.3,"Are visitors permitted in the facility? If yes, are they required to:",Yes,,"Access to datacenters is only with prior written permission from the CTO or Director of Operations, and guests must sign-in and be escorted by an authorized FactSet employee.  Access to FactSet offices requires that the visitor sign-in and be escorted at all times by a FactSet employee.",F.7 Visitor Management,11.1.2 ,Physical entry controls,Physical and Environment
F.1.3.1,Sign in and out?,Yes,,,F.7 Visitor Management,11.1.2.a ,Physical entry controls,Physical and Environment
F.1.3.2,Provide a government issued ID?,Yes,,,F.7 Visitor Management,11.1.2.a ,Physical entry controls,Physical and Environment
F.1.3.3,Be escorted through secure areas?,Yes,,,F.7 Visitor Management,,,Physical and Environment
F.1.3.4,Wear badge distinguishing them from employees?,Yes,,,F.7 Visitor Management,11.1.2.a ,Physical entry controls,Physical and Environment
F.1.3.5,Are visitor logs maintained for at least 90 days?,Yes,,,F.2 Physical Security Controls - Scoped Data,,,Physical and Environment
F.1.4,"Is there a loading dock at the facility? If yes, is there:",Yes,,,,11.1.6,Delivery and loading areas,Physical and Environment
F.1.4.1,Other tenants using the loading dock?,Yes,,,,,,Physical and Environment
F.1.4.2,Security guard or CCTV at each point of entry?,Yes,,The building has a single point of entry monitored by Security Officer 24x7x365.  All other doors are fire exits only.  All doors are locked continuously and on an access control system.  Security is monitoring site 24x7x365.,F.2 Physical Security Controls - Scoped Data,,,Physical and Environment
F.1.4.3,Smoke detector?,Yes,,,F.1 Environmental Controls - Computing Hardware,11.1.4,Protecting against external and environmental threats,Physical and Environment
F.1.4.4,Fire alarm?,Yes,,,,11.1.4,Protecting against external and environmental threats,Physical and Environment
F.1.4.5,Fire suppression?,Yes,,,F.1 Environmental Controls - Computing Hardware,11.1.4,Protecting against external and environmental threats,Physical and Environment
F.1.4.6,CCTV and the video stored for at least 90 days?,Yes,,,F.2 Physical Security Controls - Scoped Data,,,Physical and Environment
F.1.4.7,Restricted access and logs kept of all access?,Yes,,,,11.1.2.c ,Physical entry controls,Physical and Environment
F.1.5,"Is there a battery/UPS room? If yes, does it contain:",Yes,,,F.1 Environmental Controls - Computing Hardware,11.2.2 ,Supporting utilities,Physical and Environment
F.1.5.1,Hydrogen sensors?,Yes,,,F.1 Environmental Controls - Computing Hardware,11.1.4,Protecting against external and environmental threats,Physical and Environment
F.1.5.2,Fire alarm?,Yes,,,F.1 Environmental Controls - Computing Hardware,11.1.4,Protecting against external and environmental threats,Physical and Environment
F.1.5.3,Fire suppression?,Yes,,,F.1 Environmental Controls - Computing Hardware,11.1.4,Protecting against external and environmental threats,Physical and Environment
F.1.5.4,CCTV and the video stored for at least 90 days?,Yes,,,F.2 Physical Security Controls - Scoped Data,,,Physical and Environment
F.1.5.5,Restricted access and logs kept of all access?,Yes,,,F.1 Environmental Controls - Computing Hardware,11.1.2.c,Physical entry controls,Physical and Environment
F.1.6,"Is there a generator or generator area? If yes, is there:",Yes,,,F.1 Environmental Controls - Computing Hardware,11.2.2 ,Supporting utilities,Physical and Environment
F.1.6.1,A fuel supply readily available?,Yes,,,F.1 Environmental Controls - Computing Hardware,11.2.2 ,Supporting utilities,Physical and Environment
F.1.6.2,Power supply for at least 48 hours?,Yes,,,F.1 Environmental Controls - Computing Hardware,11.2.2 ,Supporting utilities,Physical and Environment
F.1.6.3,Restricted access and logs kept of all access?,Yes,,,F.1 Environmental Controls - Computing Hardware,11.1.2.c,Physical Entry Controls,Physical and Environment
F.1.6.4,CCTV and the video stored for at least 90 days?,Yes,,,F.2 Physical Security Controls - Scoped Data,,,Physical and Environment
F.1.7,"Is there a mailroom that handles Scoped Data? If yes, is there:",No,,Clients upload data electronically.,,12.1.1,Documented operating procedures,Physical and Environment
F.1.7.1,Restricted access and logs kept of all access?,N/A,,,,11.1.2.c,Physical entry controls,Physical and Environment
F.1.7.2,CCTV and the video stored for at least 90 days?,N/A,,,F.2 Physical Security Controls - Scoped Data,,,Physical and Environment
F.1.8,"Is there a media library to store Scoped Data? If yes, is access:",No,,,,12.1.1,Documented operating procedures,Physical and Environment
F.1.8.1,Restricted and logs kept of all access?,N/A,,,,11.1.2.c,Physical entry controls,Physical and Environment
F.1.8.2,CCTV and the video stored for at least 90 days?,N/A,,,F.2 Physical Security Controls - Scoped Data,,,Physical and Environment
F.1.9,"Is there a telecom quipment room? If yes, is there:",Yes,,,,12.1.1,Documented operating procedures,Physical and Environment
F.1.9.1,Monitored with CCTV and the video stored for 90 days?,Yes,,,F.2 Physical Security Controls - Scoped Data,,,Physical and Environment
F.1.9.2,Restricted and logs kept of all access?,Yes,,,,11.1.2.c,Physical entry controls,Physical and Environment
F.2,"Do the Scoped Systems and Data reside in a data center? If yes, is there:",Yes,5,,F.1 Environmental Controls - Computing Hardware,11.2.1.b,Equipment siting and protection,Physical and Environment
F.2.1,"Is there a locked cabinet within the data center? If yes, is there:",Yes,,,F.2 Physical Security Controls - Scoped Data,,,Physical and Environment
F.2.1.1,Restricted access and logs kept of all access?,Yes,,,F.2 Physical Security Controls - Scoped Data,11.1.2.c,Physical entry controls,Physical and Environment
F.2.1.2,CCTV and video stored at least 90 days?,Yes,,,F.2 Physical Security Controls - Scoped Data,,,Physical and Environment
F.2.2,Are locking screensavers on unattended system displays or locks on consoles required within the data center?,Yes,,,,,,Physical and Environment
F.2.3,Is there a procedure for equipment removal from the data center?,Yes,,,F.2 Physical Security Controls - Scoped Data,11.2.6,Security of equipment and assets off-premises,Physical and Environment
F.2.4,Is there a maintenance contract for?,,,,F.2 Physical Security Controls - Scoped Data,11.2.4,Equipment maintenance,Physical and Environment
F.2.4.1,UPS system?,Yes,,,F.1 Environmental Controls - Computing Hardware,11.2.4,Equipment maintenance,Physical and Environment
F.2.4.2,Security system?,Yes,,,F.2 Physical Security Controls - Scoped Data,11.2.4,Equipment maintenance,Physical and Environment
F.2.4.3,Generator?,Yes,,,F.1 Environmental Controls - Computing Hardware,11.2.4,Equipment maintenance,Physical and Environment
F.2.4.4,Batteries?,Yes,,,F.1 Environmental Controls - Computing Hardware,11.2.4,Equipment maintenance,Physical and Environment
F.2.4.5,Monitored fire alarm?,Yes,,,F.1 Environmental Controls - Computing Hardware,11.2.4,Equipment maintenance,Physical and Environment
F.2.4.6,Fire suppression systems?,Yes,,,F.1 Environmental Controls - Computing Hardware,11.2.4,Equipment maintenance,Physical and Environment
F.2.4.7,HVAC?,Yes,,,F.1 Environmental Controls - Computing Hardware,11.2.4,Equipment maintenance,Physical and Environment
F.2.5,Are the following tested:,,,,F.2 Physical Security Controls - Scoped Data,,,Physical and Environment
F.2.5.1,UPS system - annually?,Yes,,,F.1 Environmental Controls - Computing Hardware,,,Physical and Environment
F.2.5.2,Security alarm system - annually?,Yes,,"Security patrols the entire site, if a problem is found a repair is ordered.",F.2 Physical Security Controls - Scoped Data,,,Physical and Environment
F.2.5.3,Fire alarms - annually?,Yes,,See F.2.5.2,F.1 Environmental Controls - Computing Hardware,,,Physical and Environment
F.2.5.4,Fire suppression system - annually?,Yes,,See F.2.5.2,F.1 Environmental Controls - Computing Hardware,,,Physical and Environment
F.2.5.5,Generators - monthly?,Yes,,Monthly no-load testing and Quarterly full-load testing.,F.1 Environmental Controls - Computing Hardware,,,Physical and Environment
F.2.5.6,Generators full load tested - monthly?,No,,See F.2.5.5,F.1 Environmental Controls - Computing Hardware,,,Physical and Environment
G.1,"Are management approved operating procedures utilized? If yes, are they:",Yes,5,,G. Operations Management,12.1.1,Documented Operating Procedure,Operations Management
G.1.1,"Documented, maintained, and made available to all users?",Yes,,,G. Operations Management,12.1.1,Documented Operating Procedure,Operations Management
G.2,"Is there an operational change management/change control policy or program that has been approved by management, communicated to appropriate constituents and an owner to maintain and review the policy? If yes, does it include:",Yes,5,"FactSet maintains change control processes that include documented requests, approvals, testing/implementation steps, and back out procedures of all proposed changes.  FactSet development follows strict Dev, Staging, Production promotion cycles – performance and functional testing occurring at each stage.  Engineering management uses tools to filter on and audit changes with minimum defined scope and complexity.  Review boards for peer reviews, security assessments, unit testing and regression testing are all part of the FactSet SDLC.  Internal training is in place for new hire employees, and employee managers ensure internal procedures are being followed.  For single-tenant applications, clients are involved in the scheduling / user acceptance testing of deployed code.",G.1 Change Control,12.1.2,Change Management,Operations Management
G.2.1,Documentation of changes?,Yes,,,G.1 Change Control,12.1.2.a,Change Management,Operations Management
G.2.2,"Request, review and approval of proposed changes?",Yes,,,G.1 Change Control,12.1.2.d,Change Management,Operations Management
G.2.3,Pre-implementation testing?,Yes,,,G.1 Change Control,12.1.2.b,Change Management,Operations Management
G.2.4,Post-implementation testing?,Yes,,,G.1 Change Control,12.1.2.b,Change Management,Operations Management
G.2.5,Review for potential security impact?,Yes,,,G.1 Change Control,12.1.2.c,Change Management,Operations Management
G.2.6,Review for potential operational impact?,Yes,,,G.1 Change Control,12.1.2.c,Change Management,Operations Management
G.2.7,Communication of changes to all relevant constituents?,Yes,,,G.1 Change Control,12.1.2.f,Change Management,Operations Management
G.2.8,Rollback procedures?,Yes,,,G.1 Change Control,12.1.2.g,Change Management,Operations Management
G.2.9,Maintenance of change control logs?,Yes,,,G.1 Change Control,14.2.2.j,System change control procedures,Operations Management
G.2.10,"Secure Code Analysis performed by qualified personnel, other than the author of the relevant code, prior to introduction to the production environment?",Yes,,,G.1 Change Control,14.2.2.e,System change control procedures,Operations Management
G.2.11,Is Information security's approval required prior to implementing changes?,Yes,,Security approval is not required for routine / established procedures.,G.1 Change Control,14.2.2.f,System change control procedures,Operations Management
G.2.12,"Are changes to the production environment subject to the change control process? If yes, do they include the following:",Yes,,,G.1 Change Control,12.1.2 14.2.2,Change Management System change control procedures,Operations Management
G.2.12.1,Network?,Yes,,,G.1 Change Control,14.2.2,System change control procedures,Operations Management
G.2.12.2,Systems?,Yes,,,G.1 Change Control,14.2.2,System change control procedures,Operations Management
G.2.12.3,Application updates?,Yes,,,G.1 Change Control,14.2.2,System change control procedures,Operations Management
G.2.12.4,Code changes?,Yes,,,G.1 Change Control,14.2.2,System change control procedures,Operations Management
G.2.13,"Is there a segregation of duties between those requesting, approving and implementing a change?",Yes,,,G.1 Change Control,6.1.2,Segregation of Duties,Operations Management
G.3,"Are criteria for accepting new information systems, upgrades, and new version established, approved by management, communicated to appropriate constituents and assigned an owner to maintain and regularly review? If yes:",Yes,5,,"G.3 Application Security Vulnerability Assessment and Remediation
I.1 Application Security Program Governance",,,Operations Management
G.3.1,"Is the procedure executed prior to the introduction of a new information system, application or technology to the environment?",Yes,,,"G.3 Application Security Vulnerability Assessment and Remediation
I.1 Application Security Program Governance",,,Operations Management
G.3.2,Are the identification of applicable policies and regulations required?,Yes,,,,,,Operations Management
G.3.3,"Is the determination of security requirements, controls and associated processes required?",Yes,,,G.3 Application Security Vulnerability Assessment and Remediation,,,Operations Management
G.3.4,"Is the determination of integrity, availability and confidentiality requirements?",Yes,,,,,,Operations Management
G.3.5,Is the change control and approval process documented throughout the process?,Yes,,,G.1 Change Control,,,Operations Management
G.3.6,Is a risk assessment required to analyze the impact of needed changes and specified security controls?,Yes,,,G.3 Application Security Vulnerability Assessment and Remediation,,,Operations Management
G.3.7,Is testing for validation of all implemented controls required?,Yes,,,G.3 Application Security Vulnerability Assessment and Remediation,,,Operations Management
G.3.8,Is the execution of a vulnerability scan and assessment required?,Yes,,,G.3 Application Security Vulnerability Assessment and Remediation,,,Operations Management
G.3.9,Performance and computer capacity requirements?,Yes,,,,,,Operations Management
G.3.10,Error recovery and restart procedures?,Yes,,,,,,Operations Management
G.3.11,Preparation and testing of operating procedures?,Yes,,,,,,Operations Management
G.3.12,Agreed set of security controls?,Yes,,,,,,Operations Management
G.3.13,Effective manual procedures?,Yes,,,,,,Operations Management
G.3.14,Business continuity arrangements?,Yes,,,,,,Operations Management
G.3.15,"Evidence that new system will not adversely affect existing systems, particularly at peak processing times, such as month end?",Yes,,,G.3 Application Security Vulnerability Assessment and Remediation,,,Operations Management
G.3.16,Evidence of the effect on the overall security of the Assessee?,Yes,,,,,,Operations Management
G.3.17,Are system resources reviewed to ensure adequate capacity is maintained?,Yes,,,G.3 Application Security Vulnerability Assessment and Remediation,,,Operations Management
G.4,Are backups of Scoped Systems and Data performed?,Yes,5,,K.5 Backup Media Restoration,12.3.1,Information Back-Up,Operations Management
G.4.1,"Is there a policy or process for the backup of production data? If yes, does it include a requirement to:",Yes,,,K.5 Backup Media Restoration,12.3.1,Information Back-Up,Operations Management
G.4.1.1,Test backup media and restoration procedures at least annually?,Yes,,,K.5 Backup Media Restoration,12.3.1.e,Information Back-Up,Operations Management
G.4.1.2,"Document data retention/destruction requirements, track and periodically review media for compliance to those requirements at least annually?",Yes,,,,,,Operations Management
G.4.2,Are backup and replication errors reviewed and corrected at least weekly?,Yes,,,,,,Operations Management
G.4.3,"Is backup media stored offsite? If yes, is there:",No,,"No back-up media are stored or shipped offsite with the exception of back-up tapes for US based Portware datacenters.  For those datacaenters back-up tapes are stored via Iron Mountain services, tapes are encrypted.",K.5 Backup Media Restoration,12.3.1.c,Information Back-Up,Operations Management
G.4.3.1,Secure transport?,N/A,,,K.5 Backup Media Restoration,8.3.3,Physical media transfer,Operations Management
G.4.3.2,Tracking shipments?,N/A,,,K.5 Backup Media Restoration,8.3.3.e,Exchange Agreements,Operations Management
G.4.3.3,Verification of receipt?,N/A,,,K.5 Backup Media Restoration,8.3.3.e,Exchange Agreements,Operations Management
G.4.3.4,Verifiable Chain of Custody?,N/A,,,,,,Operations Management
G.5,Do systems and network devices utilize a common time synchronization service?,Yes,5,,,12.4.4,Clock Synchronization,Operations Management
G.6,What service hosting models are provided as part of this service?,,,,,4.3,Determining the scope of the information management system,Operations Management
G.6.1,Data center: single tenancy?,Yes,,FactSet Enterprise Hosting is single-tenant.  Core FactSet is multi-tenant.,,,,Operations Management
G.6.2,Co-location: dedicated server?,No,,,,,,Operations Management
G.6.3,"Cloud Hosting: (e.g., AWS, Azure, Google, etc.)?",No,,FactSet is a SaaS with a Private cloud.  Client data is stored in FactSet private/operated/controlled datacenters.,,,,Operations Management
G.6.4,Web Hosting,Yes,,,,,,Operations Management
G.6.5,File Hosting,Yes,,,,,,Operations Management
G.6.6,Continuous?,Yes,,,,,,Operations Management
G.7,"Are Cloud Services provided? If yes, what service model is provided (select all that apply):",Yes,5,,V.1 Service and Deployment Models,4.3,Determining the scope of the information management system,Operations Management
G.7.1,Software as a Service (SaaS)?,Yes,,FactSet is a SaaS with a Private cloud.  Client data is stored in FactSet private/operated/controlled datacenters.,V.1 Service and Deployment Models,,,Operations Management
G.7.2,Infrastructure as a Service (IaaS)?,No,,,V.1 Service and Deployment Models,,,Operations Management
G.7.3,What deployment models are provided (select all that apply):,,,,V.1 Service and Deployment Models,4.3,Determining the scope of the information management system,Operations Management
G.7.3.1,Private cloud?,Yes,,,V.1 Service and Deployment Models,,,Operations Management
G.7.3.2,Public cloud?,No,,,V.1 Service and Deployment Models,,,Operations Management
G.7.3.3,Community cloud?,No,,,V.1 Service and Deployment Models,,,Operations Management
G.7.3.4,Hybrid cloud?,Yes,,,V.1 Service and Deployment Models,,,Operations Management
G.7.4,Is there a full time internal security team assigned to protecting the cloud infrastructure?,Yes,,,V.3 Cloud Audit Program,15.1.2 15.2.1 ,"Addressing security within supplier agreements, Monitoring and review of supplier services",Operations Management
G.7.5,Is there a client management portal which allows distributed business accounts (business units/departments) to be managed under a single central corporate account?,Yes,,,,15.2.1,Monitoring and review of supplier services,Operations Management
G.7.6,"Are application self service features or an Internet accessible self-service portal available to clients? If yes, are the following functions available:",Yes,,,,9.4.1,Information access restriction,Operations Management
G.7.6.1,Provision users?,Yes,,Clients typically contact their dedicated FactSet Account Team to permission access.  There is an interactive Self Service portal that can be enabled to provision new Core FactSet users and turn specific entitlements on and off.  FactSet’s File Manager facility allows an administrator at our clients to control the security of each Portfolio on the system.,,9.2.2 ,User access provisioning,Operations Management
G.7.6.2,"Audit, modify, and remove user entitlements?",Yes,,see G.7.6.1,,9.2.5,Review of User Access Rights,Operations Management
G.7.6.3,View uptime?,Yes,,"For FactSet Portfolio Services, FactSet presents a transparent dashboard within our Control Center web portal which shows the status of all critical batch production runs and the state of the data reconciliation.  Round-the-clock FactSet Workflow Coordinators and Data Reconciliation Specialists monitor not only the process integrity but also the data quality and work independently and with the client to remediate timing, process, integrated raw data and derived/calculated data issues.  ",,12.4.1 15.2.1,"Event Logging,
Monitoring and Review of Supplier Services",Operations Management
G.7.6.4,View real-time service interruptions?,Yes,,Events impacting FactSet clients are available to active clients via FactSet Notify https://notify.factset.com.  ,,12.4.1 15.2.1,"Event Logging,
Monitoring and Review of Supplier Services",Operations Management
G.7.6.5,View maintenance window information?,Yes,,FactSet is available 24x7x365 with no scheduled downtime.  Applications hosted via FactSet Enterprise Hosting have maintenance times and other activities such as patching coordinated with clients.,,12.4.1 15.2.1,"Event Logging,
Monitoring and Review of Supplier Services",Operations Management
G.7.6.6,View access logs?,Yes,,"FactSet delivers full Core FactSet user lists via Control Center (https://controlcenter.factset.com) along with an indication of the last-used FactSet Workstation version.  In general, upon reasonable request, FactSet can discuss specific log information with clients.  Process and security events are not made available to clients, however we are always available to discuss concerns and have in-depth conversations with our clients.",,12.4.1 15.2.1,"Event Logging,
Monitoring and Review of Supplier Services",Operations Management
G.7.6.7,Create or modify a new cloud instance?,No,,FactSet Enterprise Hosting is a fully managed service.,,9.2.3.b ,Management of privileged access rights,Operations Management
G.7.6.8,View system health and status?,Yes,,See G.7.6.3.  FactSet also has a multi-factor performance measurement system for all individual Core FactSet users Speed and Stability called COMPASS (Client Overall Measureable Performance and Stability Score).  This score and FactSet automatic-generated recommendations for remediation are available for IT Administrators via FactSet Control Center.  ,,9.2.3,Management of privileged access rights,Operations Management
G.7.6.9,Create IP access lists?,Yes,,Clients can define source IP whitelists for FactSet Web and SFTP access within the FactSet Control Center web portal.,,9.2.3,Management of privileged access rights,Operations Management
G.7.6.10,View security events and alerts?,Yes,,"Upon reasonable request, FactSet can discuss specific log information with clients.  Process and security events are not made available to clients, however Technology Solutions Engineers are always available to discuss concerns and have in-depth conversations with our clients.",,9.2.3,Management of privileged access rights,Operations Management
G.7.6.11,Remote administrative access to the systems?,No,,FactSet is a SaaS.  Our solutions are fully managed by FactSet engineers.,,9.2.3,Management of privileged access rights,Operations Management
G.7.6.12,View raw system and application logs?,No,,see G.7.6.11,,9.2.3,Management of privileged access rights,Operations Management
G.7.6.13,Specify data retention periods?,No,,see G.7.6.11,,9.2.3,Management of privileged access rights,Operations Management
G.7.6.14,Delete data on request?,No,,,,9.2.3,Management of privileged access rights,Operations Management
G.7.6.15,Data extraction tool or process to allow retrieval of data?,Yes,,,,9.2.3,Management of privileged access rights,Operations Management
G.7.6.16,Create image snapshots?,No,,see G.7.6.11,,9.2.3,Management of privileged access rights,Operations Management
G.7.7,"Can clients run their own security services within their own cloud environment? If yes, can it include:",No,,see G.7.6.11,V.3 Cloud Audit Program,12.4.1 12.4.3 12.5 12.6.1 ,"Event logging, Administrator and operator logs, Control of operational software, Management of technical vulnerabilities",Operations Management
G.7.7.1,Firewall?,N/A,,,,,,Operations Management
G.7.7.2,Network IDS/IPS?,N/A,,,,,,Operations Management
G.7.7.3,Data integrity monitoring (host based Integrity)?,N/A,,,,,,Operations Management
G.7.7.4,Anti virus?,N/A,,,,,,Operations Management
G.7.7.5,Vulnerability Scanning?,N/A,,,,,,Operations Management
G.7.7.6,Other (please specify)?,N/A,,,,,,Operations Management
G.7.7.7,Can a client supply their own default base virtual image for guest operating systems?,N/A,,,,,,Operations Management
G.7.8,Is there a management approved process to ensure that image snapshots containing Scoped Data are authorized prior to being snapped?,Yes,,,,9.2.3,Management of privileged access rights,Operations Management
G.7.8.1,Are image snapshots containing Scoped Data stored in an environment where the security controls protecting them are commensurate with the production environment?,Yes,,,,9.2.3,Management of privileged access rights,Operations Management
G.7.9,"Can image versions be electronically signed to insure integrity? If yes, who would perform:",Yes,,,,14.2.2 14.2.4,"System change control procedures, Restrictions on changes to software packages",Operations Management
G.7.9.1,Cloud provider?,Yes,,,,,,Operations Management
G.7.9.2,Client?,No,,see G.7.6.11,,,,Operations Management
G.7.9.3,Is the Service Provider responsible for deploying patches to the base image?,Yes,,,,,,Operations Management
G.7.9.4,Is the Service Provider responsible for hardening the initial base image?,Yes,,,,,,Operations Management
G.7.10,"Is there a formal process to ensure clients are notified prior to changes being made which may impact their service? If yes, what is the communication method:",Yes,,"Automated via FactSet Notify (https://notify.factset.com), a built-in notification system available to FactSet users.",G.1 Change Control,12.1.2,Change management,Operations Management
G.7.10.1,Website or Portal?,Yes,,,G.1 Change Control,,,Operations Management
G.7.10.2,Email?,Yes,,"Automated FactSet Notify service, or through your FactSet Account Team.",G.1 Change Control,,,Operations Management
G.7.10.3,Verbal?,Yes,,via FactSet Account Team,G.1 Change Control,,,Operations Management
G.7.10.4,"Other? If so, please describe",Yes,,via FactSet Account Team,G.1 Change Control,,,Operations Management
G.7.11,"Is there a scheduled maintenance window? If yes, what is the frequency:",Yes,,Core FactSet is available 365/24/7 with no scheduled downtime.  Single-tenant applications hosted via FactSet Enterprise Hosting have maintenance or other activities such as patching managed by FactSet at times coordinated with clients.,V.4 Security Review of Hypervisor Configuration,12.6.1 ,Management of technical vulnerabilities,Operations Management
G.7.12,Continuous?,No,,see G.7.11,,,,Operations Management
G.7.12.1,Daily?,No,,see G.7.11,V.4 Security Review of Hypervisor Configuration,,,Operations Management
G.7.12.2,Weekly?,No,,see G.7.11,V.4 Security Review of Hypervisor Configuration,,,Operations Management
G.7.12.3,Biweekly?,No,,see G.7.11,V.4 Security Review of Hypervisor Configuration,,,Operations Management
G.7.12.4,Monthly?,Yes,,Single-tenant services uses a monthly scheduled maintenance window.,V.4 Security Review of Hypervisor Configuration,,,Operations Management
G.7.12.5,"Other? If so, please describe",Yes,,see G.7.11,V.4 Security Review of Hypervisor Configuration,,,Operations Management
G.7.13,"Is there a scheduled maintenance window which results in client downtime? If yes, what is the downtime:",No,,see G.7.11,V.4 Security Review of Hypervisor Configuration,14.2.2.l,System change control procedures,Operations Management
G.7.13.1,< 30 min?,N/A,,,V.4 Security Review of Hypervisor Configuration,,,Operations Management
G.7.13.2,>30 min < 60 min?,N/A,,,V.4 Security Review of Hypervisor Configuration,,,Operations Management
G.7.13.3,>60 min < 120 min?,N/A,,,V.4 Security Review of Hypervisor Configuration,,,Operations Management
G.7.13.4,>120 min < 180 min?,N/A,,,V.4 Security Review of Hypervisor Configuration,,,Operations Management
G.7.13.5,"Other? If so, please describe",N/A,,,V.4 Security Review of Hypervisor Configuration,,,Operations Management
G.7.14,"Is there an online incident response status portal, which outlines planned and unplanned outages? If yes, how long after an unplanned outage is this updated:",Yes,,"FactSet Notify will show planned events and reactive incidents, as well as updates as to their status.","J. Incident Event and Communications Management
P.8 Privacy Incident Notification and Response Management",14.2.2,System change control procedures,Operations Management
G.7.14.1,Real-time?,Yes,,,,,,Operations Management
G.7.15,Is there the option for clients to opt-in or opt-out of specific features in releases?,Yes,,"FactSet does not seek client approval before our weekly code release cycles – all code is run through a four-stage development promotion cycle with extensive regression, functional and performance QA.  Single-tenant applications hosted via FactSet Enterprise Hosting have maintenance or other activities such as patching managed by FactSet at times coordinated with clients.  Opt-in to features can be controled through product authorization / orders, but code paths will be present for all clients.",,14.2.2,System change control procedures,Operations Management
G.8,Are backups containing Scoped Data stored in an environment where the security controls protecting them are commensurate with the production environment?,Yes,5,,,,,Operations Management
H.1,"Are electronic systems used to transmit, process or store Scoped Systems and Data?",Yes,5,,,,,Access Control
H.1.1,"Is there an access control policy that has been approved by management, communicated to constituents and an owner to maintain and review the policy?",Yes,,,H. Access Control,9.1.1,Access control policy,Access Control
H.1.2,"Is access control on applications, operating systems, databases, and network devices configured according to the principle of least privilege?",Yes,,,,9.1.1.b,Access control policy,Access Control
H.2,"Are individual IDs required for user authentication to applications, operating systems, databases and network devices?",Yes,5,,H.1 Password Controls,9.2.1.a,User registration and de-registration,Access Control
H.2.1,"Are user IDs created in a manner that either identify roles or access levels, or contain personal information other than name (i.e. SSN, Access Level, Admin role)?",No,,,,9.4.3.c,Password Management System,Access Control
H.2.2,Is an inactive user ID deleted or disabled within 90 days?,No,,Access is updated upon a change in employee role.  This is tracked in our internal employee management system.  Procedures are in place to review employee access at least once per year. The accounts of privileged users are reviewed every six months. These procedures are in addition to the normal business workflows and processes that govern user access management.,H.4 Inactive Accounts,9.2.6,Removal or adjustment of access rights,Access Control
H.2.3,"Is there a process to request and receive approval for access to systems transmitting, processing or storing Scoped Systems and Data?",Yes,,Employee access to systems is role based.,H.3 Logical Access Authorization,9.1.2.b,Access to networks and network services,Access Control
H.2.4,Segregation of duties for granting access and approving access?,Yes,,,H.3 Logical Access Authorization,9.1.1.f,Access Control Policy,Access Control
H.2.5,Segregation of duties for approving and implementing access requests?,Yes,,,H.3 Logical Access Authorization,6.1.2 ,Segregation of Duties,Access Control
H.2.5.1,"Are requests for granting access documented, retained and retrievable for audit purposes for a minimum of a year?",Yes,,,H.3 Logical Access Authorization,9.2.5.e,Review of User Access Rights,Access Control
H.2.6,Is system access limited by:,,,,,9.4.1,Information access restriction,Access Control
H.2.6.1,Time of day?,No,,,,,,Access Control
H.2.6.2,Physical location?,No,,,,,,Access Control
H.2.6.3,Network subnet?,Yes,,,,,,Access Control
H.2.7,Are user access rights reviewed at least quarterly?,No,,Procedures are in place to review employee access at least once per year. The accounts of privileged users are reviewed every six months. These procedures are in addition to the normal business workflows and processes that govern user access management.,H.9 Monitoring of System Access Rights,9.2.5.a,Review of User Access Rights,Access Control
H.2.8,Are access rights reviewed when a constituent changes roles?,Yes,,,H.9 Monitoring of System Access Rights,9.2.5.b,Review of User Access Rights,Access Control
H.2.9,Are access rights to privileged systems reviewed to ensure unauthorized access has not been obtained?,Yes,,,H.9 Monitoring of System Access Rights,9.2.5.d,Review of User Access Rights,Access Control
H.2.10,Are privileged user access rights reviewed at least quarterly?,No,,see H.2.7,H.9 Monitoring of System Access Rights,9.2.5.c,Review of User Access Rights,Access Control
H.2.11,Are changes to privileged user access rights logged?,Yes,,,H.9 Monitoring of System Access Rights,9.2.5.e,Review of User Access Rights,Access Control
H.2.12,Are user access rights revoked within 24 hours of termination?,Yes,,,,,,Access Control
H.2.13,Are Administrative rights restricted to those requiring all permissions including the ability to modify other security permissions?,Yes,,,,,,Access Control
H.2.14,"Do logon banners exist for all electronic systems, declaring access is for authorized users and purposes only?",Yes,,"This is in place for some, but not all systems.",L.1 Presence of Log-on Banners,9.4.2.b,Secure Log-On Procedures,Access Control
H.2.15,"Upon logon failure, does the user receive an error message specifically describing the nature of the failure e.g. invalid password, invalid user ID, etc.?",Yes,,Depends on the system.,,9.4.2.d,Secure Log-On Procedures,Access Control
H.2.16,"Upon successful logon, does a message indicate the last time of successful logon?",Yes,,Depends on the system.,,9.4.2.h,Secure Log-On Procedures,Access Control
H.2.17,Is multi-factor authentication deployed for high-risk environments?,Yes,,,H.8 Restrictions and Multifactor Authentication for Remote Access,9.1.2.e,Access to networks and network services,Access Control
H.2.18,Is the use of system utilities restricted to authorized users only?,Yes,,,,9.4.4,Use of privileged utility programs,Access Control
H.3,Are passwords used?,Yes,5,,H. Access Control,,,Access Control
H.3.1,"Is there a password policy for systems that transmit, process or store Scoped Systems and Data that has been approved by management, communicated to constituents, and enforced on all platforms? If yes, does it include:",Yes,,,H. Access Control,9.4.3,Password Management System,Access Control
H.3.1.1,All server platforms?,Yes,,,H. Access Control,,,Access Control
H.3.1.2,"All network devices including routers, switches, and firewalls?",Yes,,,H. Access Control,,,Access Control
